firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,current_employee,years_in_company
Deloitte,2020-09-11, Business Technology Analyst,"Former Employee, more than 1 year",Hyderābād,4,2.0,4.0,5.0,3.0,3.0,5.0,1,1,1,"Great company, Wonderful Co-workers. Meaningless work","Great professionals all around, extremely supportive and friendly to work with.","As an entry level professional, you can't choose the vertical you want to work for. That for me was a major issue.",0,1
Deloitte,2020-09-12, Analyst,"Current Employee, less than 1 year",Bangalore,5,5.0,5.0,5.0,4.0,4.0,5.0,1,1,1,Very employee friendly company.,"Management, Work culture, environment, Work-life balance, Infrastructure","The learning curve, Salary, Odd working hours",1,1
Deloitte,2020-09-12, Anonymous Employee,"Current Employee, more than 1 year",Hyderābād,1,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,Just a Name. Contains people with bloated egos and negligible brains,Work from home is the only Pros,"All else is a con.
Lot of bootlicking and politics
Managers and Partners are unconcerned of the business and want to bloat their egos at the cost of the quality of work
No peer benchmarking
People with good backgrounds are stacked up with random open school folks without even verification of their degrees
Managers and Senior Managers too have no knowledge of the business
Don't pay well( infact the most underpaying organization)",1,1
Deloitte,2020-09-12, Assistant Manager,"Former Employee, more than 3 years",Dubai,3,5.0,5.0,5.0,5.0,3.0,5.0,1,1,1,Gd,Gd learning great culture very nice people,Lower salaries than industries and lots of travelling,0,3
Deloitte,2020-09-12, Audit Associate,"Current Employee, more than 1 year",Hyderābād,4,3.0,4.0,4.0,4.0,4.0,4.0,1,1,1,Overall a good experience. Can be hectic at times but you get compensated and recognised,"Good culture, good perks, enough leaves","Long hours during busy, can be toxic at times depending on the team",1,1
Deloitte,2020-09-12, Executive,"Former Employee, more than 1 year",Calcutta,4,2.0,5.0,5.0,4.0,4.0,5.0,1,1,1,Good place to work for freshers,"Work place, amenities, facilities, cafeteria","No work life balance, late night work hours",0,1
Deloitte,2020-09-12, Manager,"Current Employee, more than 1 year",Milan,2,2.0,2.0,1.0,3.0,1.0,1.0,3,3,2,x,Vast amount of business insights cumulated,"You should expect to suffer until Partner level, from a salary point of view",1,1
Deloitte,2020-09-12, Recruitment Advisor,"Former Employee, less than 1 year","Toronto, ON",3,3.0,3.0,4.0,2.0,3.0,4.0,3,2,2,Heavily administrative,"- Large company with good branding for your CV
- build great relationships with your hiring managers/partners","- recruitment team does everything manually from posting jobs to scheduling interviews.
- no CRM and Successfactors ATS is not the most user friendly",0,1
Deloitte,2020-09-12, Technology Consultant,"Current Employee, more than 1 year",Lagos,4,4.0,5.0,5.0,5.0,4.0,5.0,1,1,1,Review,"Great Place to Work, awesome team members with a growth mindset",I haven't experienced a major downside working here,1,1
Deloitte,2020-09-13, Analyst,"Current Employee, less than 1 year",Madrid,3,2.0,2.0,2.0,4.0,2.0,4.0,1,2,1,Cultura calentar la silla,Buen sitio para aprender y coger experiencia,"Mal salario, muchas horas y cultura de calentar la silla",1,1
Deloitte,2020-09-13, Associate Solution Advisor,"Current Employee, more than 1 year",Hyderābād,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,Good place to settle down,"Great Benefits to Employee in terms of flexible hours, PTO",Not upgrading with new technology,1,1
Deloitte,2020-09-13," Manager, Mergers and Acquisitions","Former Employee, more than 3 years","Los Angeles, CA",4,3.0,4.0,5.0,5.0,4.0,5.0,1,1,1,Great firm with lots of opportunity,Amazing group of professionals and amazing access to high profile private equity and F500 clients,"Long hours, but that taught me to be more efficient and manage my time even better.",0,3
Deloitte,2020-09-13, Partner,"Former Employee, more than 8 years","New York, NY",4,1.0,4.0,4.0,4.0,2.0,4.0,1,1,2,pros and cons of being partner at deloitte,"good work environment
a lot of benefits
a very competitive environment
gives oppurtunities to grow
gives you a entry to the corporate world","a lot of stress
a less paycheck as compared to the work you do
a very hectic environment
gives very paid leaves
long working hours",0,8
Deloitte,2020-09-13, Radiographer,"Current Employee, less than 1 year",Canda,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,To make optimum utilization of my professional knowledge and skills towards achieving organisation  vision.,"To make optimum utilization of my professional knowledge and skills towards achieving organisation 
vision.","every thing is good ...but it seems good.
i have not cons",1,1
Deloitte,2020-09-13, Senior Audit Associate,"Current Employee, more than 3 years",Kampala,4,2.0,3.0,5.0,2.0,2.0,4.0,1,1,1,non,it a good job to start at,it so dam stressing noights,1,3
Deloitte,2020-09-13, Senior Audit Associate,"Current Employee, more than 3 years",Kampala,4,2.0,3.0,5.0,2.0,2.0,4.0,1,1,1,non,it a good job to start at,it so dam stressing noights,1,3
Deloitte,2020-09-13, Senior Business Systems Analyst,"Former Employee, more than 5 years","Chicago, IL",5,4.0,4.0,5.0,5.0,4.0,4.0,1,1,1,Great place to build career,"Nice people, interesting projects, always learning something new.",Restrictions on growth and promotions,0,5
Deloitte,2020-09-13, Senior Business Systems Analyst,"Former Employee, more than 5 years","Chicago, IL",5,4.0,4.0,5.0,5.0,4.0,4.0,1,1,1,Great place to build career,"Nice people, interesting projects, always learning something new.",Restrictions on growth and promotions,0,5
Deloitte,2020-09-13, Senior Consultant,"Current Employee, more than 5 years","New York, NY",4,2.0,4.0,5.0,5.0,4.0,4.0,1,1,1,Long hours + vast learning opportunities,-Tons of opportunities to learn on the job,"-Long hours
-Limited performance incentives on an annual basis",1,5
Deloitte,2020-09-13, Senior Consultant,"Current Employee, more than 1 year",New Delhi,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,Brilliant Company,Employee Friendly and supported us during this COVID situation,Too Many Process but understandable since it's an audit company,1,1
Deloitte,2020-09-13, Senior Consultant,"Former Employee, more than 3 years",Sydney,4,4.0,4.0,4.0,4.0,3.0,3.0,1,1,1,Good company with some drawbacks,"1. Good reputation.
2. Big 4
3.Perks","1. Low salary below directors
2. They could get a much better team, had they offered better",0,3
Deloitte,2020-09-14, Accountant,"Former Employee, more than 1 year",Brisbane,3,1.0,3.0,2.0,4.0,3.0,1.0,3,3,1,Deloitte,"Good working environment, fast paced","Massive work load, not enough help",0,1
Deloitte,2020-09-14, Accountant,"Current Employee, less than 1 year","San Francisco, CA",5,2.0,3.0,5.0,5.0,4.0,5.0,1,1,1,Great Place to Start a Career,"-Lots of exposure to a variety of businesses.
-Great coworkers and networking.
-Big 4 brand name.","-Tiny cog in a big machine.
-Little to no direct client interaction.
-Lots of competition and politics.",1,1
Deloitte,2020-09-14, Assistant Manager,"Current Employee, more than 5 years",Hyderābād,4,3.0,4.0,4.0,5.0,3.0,3.0,1,2,1,Good,Learning Opportunities. And Carrer path.,Bad hike. Bad HR Policies,1,5
Deloitte,2020-09-14, Audit Manager,"Former Employee, more than 1 year","New York, NY",1,1.0,4.0,2.0,1.0,2.0,1.0,1,2,1,Good company to work for,Lots of onboarding training. Good company to work for,"Long hours, no work-life balance, Very little or Raise and Bonus",0,1
Deloitte,2020-09-14, BTA Consultant,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",3,2.0,5.0,5.0,3.0,5.0,2.0,1,2,2,No work life balance,Culture is really very good,too much pressure of work,1,1
Deloitte,2020-09-14, Consultant,"Former Employee, more than 1 year",Oslo,4,4.0,4.0,4.0,4.0,4.0,4.0,1,2,1,Review,"Like minded people, very challanging",It is expected from you to work overtime all the time,0,1
Deloitte,2020-09-14, Finance Manager,"Former Employee, more than 1 year","Toronto, ON",2,1.0,2.0,4.0,2.0,4.0,1.0,3,2,1,Corporate environment,Good brand name and good location,management is terrible and very unprofessional.,0,1
Deloitte,2020-09-14, Senior Administrative Assistant,"Former Employee, more than 3 years","Charlotte, NC",3,3.0,2.0,1.0,1.0,2.0,3.0,3,2,2,Dont believe the hype this will end your career,"-Good PTO
-Great maternity leave
-Nice to have extra holiday time","-Absolutely no career advancement. When I was hired on I was told there are tons of growth options because I have a degree. I raised my hand and leaned in to every opportunity that came my way but was passed over 8 times in one year. After talking to other admin it can take 8 to 10 years to find a lateral role in another department. I was later told by a manager that Deloitte simple doesnt have a lot of advancement options. 
-There is a strict anti-bullying policy but if your a partner or well liked you can bully whomever you please. I had a nasty partner for two years, I had taken him on after his former admin had a breakdown. When we finally parted ways it was because he had ask for a new admin not because I had complained for two years about being bullied. 
-Dont bother complaining to your manager about anything. They are more interested in covering their butt then having your back. 
-Dont bother reporting to the hotline. While there is an anti-retaliation policy it apparently is not enforced. 
-You are told you can ""grow"" your career this appears to mean you will take on more work for the same title and same pay. 
-The environment is like being in high school instead of being part of a team. There was an admin that would walk behind my cube and peak over to see what I was doing and this is completely acceptable. 
-How well your liked determines what you can get away with. If I was 10 minutes late my manager would ping me but there were admin that would go to the gym at 10am or arrive anywhere between 9 and 11 then leave between 3 and 4. 
-There are no yearly reviews or bonuses. You are told you are a number and replaceable. Since you cost more then your bring in there is no effort to grow you. 
-Admin come in at a level 3 with no option to advance but level 4 and above have the option to have mentors, take advancement classes and be part of special projects. 
-They preach a lot of diversity and inclusion. There is an inclusion council but you have to be recommended by a current member then voted in. 85% of partners are white males. There used to be inclusion groups for cultures but it was too much of a hassle and they were dissolved.
-Your time is not respected. You are expected to be available at all hours of the day and night. If you point out that you entitled to off time as well your job description will be printed for you so you can review what your responsibilities are. 
-Managers are promoted at random and then not provided any training on how to manage others or how to lead so people will follow.",0,3
Deloitte,2020-09-14, Senior Consultant,"Current Employee, more than 1 year","Irvine, CA",4,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,A good place to shape your career and learn various skills,Multiple client engagements enable you to work in a fast paced environment. You are always updated with the latest and greatest information in the industry.,You will be limited to one skillset if you don't expand your network or work in different technologies/ industries,1,1
Deloitte,2020-09-14, Senior Consultant,"Current Employee, more than 3 years","Washington, DC",5,3.0,5.0,5.0,5.0,5.0,5.0,1,2,1,Great Company,It truly is a company that cares about you and you can build your own career. I have been able to smoothly transition from areas of the business and locations.,Significantly long hours at times,1,3
Deloitte,2020-09-14, Senior Tax Associate,"Current Employee, more than 3 years","Dublin, Dublin",3,3.0,2.0,4.0,5.0,2.0,3.0,3,1,1,Pressurised environment but good learning opportunities,Good training and career progression opportunities,"Not many benefits, lots of deadlines and pressure",1,3
Deloitte,2020-09-15, Associate Creative Director,"Former Employee, more than 1 year","New York, NY",4,4.0,3.0,4.0,4.0,5.0,3.0,1,2,1,Deloitte Digital,Lots of opportunities for growth within the company. Friendly work environment. Challenging work with great clients.,Unnecessary and unrealistic firm contributions on top of your daily work requirements.,0,1
Deloitte,2020-09-15, BTA,"Current Employee, more than 1 year",Bangalore,4,2.0,5.0,4.0,4.0,3.0,3.0,1,2,2,"Great work culture, but not individual skill driven","You'll learn a lot about professional client relationship
Decent Extras, that go beyond your compensation","Campus hire are sorted into different business line, but without any clear process... You could have java experience but you get a role with nothing to do with Java",1,1
Deloitte,2020-09-15, Business Technology Analyst,"Current Employee, more than 1 year","Dallas, TX",5,5.0,4.0,4.0,5.0,3.0,4.0,1,1,1,Challenging and Rewarding Workplace,"- Lots to learn
- Great people","- Challenging projects means long hours
- Unclear chain of command",1,1
Deloitte,2020-09-15, Communications and Engagement Lead,"Current Employee, less than 1 year","London, England, England",5,5.0,5.0,4.0,5.0,3.0,5.0,1,1,1,Great place to work,"Being surrounded by brilliant people, which in turn motivates you to do your best, most impactful work",None that come to mind,1,1
Deloitte,2020-09-15, Consultant,"Current Employee, more than 1 year",Bangalore,5,5.0,4.0,5.0,5.0,4.0,4.0,1,1,1,Azure Cloud,"Lot of learning opportunities, great leadership",Nothing I can think of.,1,1
Deloitte,2020-09-15, Consultant,"Former Employee, more than 3 years",Hyderābād,1,1.0,2.0,4.0,1.0,3.0,1.0,3,1,3,Long working hours. No work life balance.no personal life.,highly competitive.on time pay.work from home.,"Long working hours, weekend hours. No work-life balance , Sr managers and managers are not at all concerned with consultant and analyst level staff in the project.do not recommend this company for women with little kids as you will always feel the guilt of not maintaining the wok and personal life balance.",0,3
Deloitte,2020-09-15, Consultant,"Current Employee, less than 1 year",Jakarta,5,3.0,5.0,5.0,5.0,4.0,4.0,1,2,1,Excellent Experience & People,"- Exposure to various roles and international projects. 
- Most people are driven, brilliant, and helpful. Teammates are not stingy in sharing knowledge and offering help. Managers above are very capable.
- There is always something new, so not boring!
- Good learning opportunities and certifications.","- May be exhausting sometimes.
- Kinda stressful sometimes.
- How happy you are might depends on what project you are on.
- So many administrative stuffs to complete (learning hours, time charging, etc.)",1,1
Deloitte,2020-09-15, Digital Marketing Specialist,"Current Employee, more than 3 years",Hyderābād,3,3.0,5.0,5.0,3.0,1.0,1.0,3,3,3,Good for experience don't overstay,No pros to be honest except brand name,Salary is way below market standards,1,3
Deloitte,2020-09-15, Implementation Consultant,"Current Employee, more than 1 year",Milan,4,3.0,4.0,4.0,3.0,3.0,5.0,1,2,1,good career outlook,"good name, interesting clients, lots of responsibility","long hours, lower pay than the competition",1,1
Deloitte,2020-09-15, Manager,"Former Employee, more than 5 years",Hong Kong,5,2.0,4.0,4.0,5.0,5.0,4.0,1,2,2,Workload In Line with Salary,"great salary growth
flexible working culture","high workload
tight deadlines at times",0,5
Deloitte,2020-09-15, Product Lead,"Former Employee, more than 1 year","Washington, DC",5,2.0,3.0,3.0,5.0,5.0,4.0,1,1,1,"For consulting, a good experience",Great team and pay consistent with workload,Challenging work-life balance especially in commercial work,0,1
Deloitte,2020-09-15, Senior Auditor,"Former Employee, more than 3 years","Las Vegas, NV",3,1.0,2.0,1.0,3.0,1.0,1.0,3,3,2,Experience was okay,"It’s good on a resume, but it’s not the end all be all that your teachers make it sound like.",When you leave it will take a few years to re-grow your soul.,0,3
